ID,sl_forb_current,sl_grass_current,sl_forb_mid_585,sl_grass_mid_585,cluster,pet,ppt,soil,srad,tmax,vpd
2182,2,8,1,6,4,111.67123287671227,24.51643835616438,15.172602739726024,204.958904109589,20.280136986301372,1.2204109589041097
2183,2,3,0,4,1,105.93561643835619,27.038356164383565,19.450684931506846,205.0904109589041,18.91602739726028,1.0928767123287675
2184,1,2,1,2,1,97.52191780821914,39.44794520547945,36.546575342465744,202.1315068493151,16.814246575342466,0.9304109589041096
2185,5,11,4,17,3,97.52876712328768,23.232876712328764,6.594520547945201,192.8630136986301,17.547671232876706,1.1075342465753424
2186,5,11,4,17,3,97.52876712328768,23.232876712328764,6.594520547945201,192.8630136986301,17.547671232876706,1.1075342465753424
2187,5,11,4,17,3,97.52876712328768,23.232876712328764,6.594520547945201,192.8630136986301,17.547671232876706,1.1075342465753424
2188,3,6,3,9,4,97.68219178082194,23.626027397260273,6.276712328767123,192.49726027397261,18.180136986301374,1.1024657534246576
2189,3,6,3,9,4,97.68219178082194,23.626027397260273,6.276712328767123,192.49726027397261,18.180136986301374,1.1024657534246576
2190,3,6,3,9,4,97.68219178082194,23.626027397260273,6.276712328767123,192.49726027397261,18.180136986301374,1.1024657534246576
2191,3,6,3,9,4,97.68219178082194,23.626027397260273,6.276712328767123,192.49726027397261,18.180136986301374,1.1024657534246576
2192,3,4,2,5,4,93.15068493150685,27.698630136986303,11.126027397260275,191.06712328767122,17.25397260273973,0.9926027397260279
2193,3,4,2,5,4,93.15068493150685,27.698630136986303,11.126027397260275,191.06712328767122,17.25397260273973,0.9926027397260279
2194,3,4,2,5,4,93.15068493150685,27.698630136986303,11.126027397260275,191.06712328767122,17.25397260273973,0.9926027397260279
2195,3,4,2,5,4,93.15068493150685,27.698630136986303,11.126027397260275,191.06712328767122,17.25397260273973,0.9926027397260279
2196,2,3,2,3,1,92.89452054794519,29.138356164383556,13.497260273972602,189.31095890410964,17.3641095890411,0.9843835616438352
2197,2,3,2,3,1,92.89452054794519,29.138356164383556,13.497260273972602,189.31095890410964,17.3641095890411,0.9843835616438352
2198,2,3,2,3,1,92.89452054794519,29.138356164383556,13.497260273972602,189.31095890410964,17.3641095890411,0.9843835616438352
2199,2,3,2,3,1,92.89452054794519,29.138356164383556,13.497260273972602,189.31095890410964,17.3641095890411,0.9843835616438352
2200,0,3,1,4,1,74.672602739726,38.29178082191781,21.51095890410959,182.62876712328773,13.06246575342466,0.6528767123287673
2201,2,2,2,2,1,93.86301369863017,33.587671232876716,17.464383561643825,197.65753424657527,16.888356164383563,0.9049315068493151
2202,2,2,2,2,1,93.86301369863017,33.587671232876716,17.464383561643825,197.65753424657527,16.888356164383563,0.9049315068493151
2203,2,2,2,2,1,93.86301369863017,33.587671232876716,17.464383561643825,197.65753424657527,16.888356164383563,0.9049315068493151
2204,2,2,2,2,1,93.86301369863017,33.587671232876716,17.464383561643825,197.65753424657527,16.888356164383563,0.9049315068493151
2205,2,2,2,2,1,93.86301369863017,33.587671232876716,17.464383561643825,197.65753424657527,16.888356164383563,0.9049315068493151
2206,1,3,2,2,1,77.79452054794523,32.98356164383561,7.394520547945211,190.9232876712329,13.232328767123287,0.6680821917808218
2207,4,13,2,9,3,103.47123287671229,23.08219178082191,9.052054794520549,197.286301369863,18.714657534246573,1.1569863013698634
2208,4,13,2,9,3,103.47123287671229,23.08219178082191,9.052054794520549,197.286301369863,18.714657534246573,1.1569863013698634
2209,4,13,2,9,3,103.47123287671229,23.08219178082191,9.052054794520549,197.286301369863,18.714657534246573,1.1569863013698634
2210,1,3,2,3,1,110.06027397260274,35.26849315068494,3.0273972602739723,192.74657534246577,19.13876712328767,1.0858904109589038
2211,4,3,3,3,4,99.18082191780823,30.623287671232863,18.0904109589041,201.28493150684932,17.720821917808216,0.9971232876712326
2212,1,1,1,1,1,65.23561643835616,36.65068493150684,27.27808219178083,183.81780821917806,11.383698630136989,0.5739726027397261
2213,1,5,1,5,1,80.35753424657536,29.87945205479453,21.012328767123293,189.31917808219174,14.431917808219177,0.7387671232876711
2214,1,1,1,1,1,61.7123287671233,40.553424657534244,26.686301369863024,184.06027397260272,10.165068493150688,0.5513698630136988
2215,1,1,1,1,1,61.7123287671233,40.553424657534244,26.686301369863024,184.06027397260272,10.165068493150688,0.5513698630136988
2216,1,1,1,1,1,61.7123287671233,40.553424657534244,26.686301369863024,184.06027397260272,10.165068493150688,0.5513698630136988
2217,1,1,1,1,1,61.7123287671233,40.553424657534244,26.686301369863024,184.06027397260272,10.165068493150688,0.5513698630136988
2218,0,2,1,3,1,70.27945205479449,37.746575342465775,24.520547945205465,182.79452054794515,12.188082191780822,0.6301369863013698
